id,content,named_entities,channel
1016267,"NOT 1 PERSON DIED FROM COVID EVER  COVID WAS NEVER ISOLATED  THE COMMON COLD, FLU ALONG WITH 5G WAS THE CAUSE OF HEALTH CONDITIONS    ASYMPTOMATIC WENT FOR TEST SWABS THAT INFECTED THEM WITH SYMPTOMS  FORCED DEATHS BY VENTILATORS  APPROXIMATELY 45-65k DIE EVERY YEAR FROM THE FLU  THOSE WITH PRE-EXISTING CONDITIONS AND THE ELDERLY CAN DIE FROM THE FLU  NORMAL COLD SYMPTOMS AND THE FU WAS REBRANDED AND REMARKETING AS COVID 19  LAB LEAK: THERE ISN'T A VIRUS THAT WAS LEAKED THERE WAS: THE LEAK OF INFORMATION THE TAINTED SWABS THE VACCINE CREATED YEARS AGO  THE VACCINATED ARE BECOMING THE VIRUS","[{u'text': u'1', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'CONDITIONS', u'type': u'ORG'}, {u'text': u'45-65k', u'type': u'DATE'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'LEAKED', u'type': u'PERSON'}, {u'text': u'TAINTED', u'type': u'ORG'}, {u'text': u'YEARS AGO', u'type': u'DATE'}, {u'text': u'VIRUS', u'type': u'ORG'}]",690
1022796,"The phone industry (Apple, at least) is starting to move everything to 5G. If you want a cell phone that isn't 5G, better grab it soon.  https://www.zerohedge.com/markets/apple-going-all-5g-its-2022-iphone-refresh","[{u'text': u'Apple', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}]",689
1029629,Someone please explain the 5G,"[{u'text': u'5', u'type': u'CARDINAL'}]",701
1049454,"I keep adding to this with my notes since last year  The  FLU HAS ALWAYS BEEN FROM FREQUENCIES  NOT 1 PERSON DIED FROM COVID EVER  COVID WAS NEVER ISOLATED  THE COMMON COLD, FLU ALONG WITH 5G WAS THE CAUSE OF HEALTH CONDITIONS    ASYMPTOMATIC WENT FOR TEST SWABS THAT INFECTED THEM WITH SYMPTOMS  FORCED DEATHS BY VENTILATORS  APPROXIMATELY 45-65k DIE EVERY YEAR FROM THE FLU  THOSE WITH PRE-EXISTING CONDITIONS AND THE ELDERLY CAN DIE FROM THE FLU  NORMAL COLD SYMPTOMS AND THE FU WAS REBRANDED AND REMARKETING AS COVID 19  LAB LEAK: THERE ISN'T A VIRUS THAT WAS LEAKED THERE WAS: THE LEAK OF INFORMATION THE TAINTED SWABS INFECTED YOU WITH A VIRUS (FLU) THE VACCINE CREATED YEARS AGO  THE VACCINATED ARE BECOMING THE VIRUS   It is from 5G - Radiation from the cells. There isn't a leak from Wuhan.  It's a cover-up   3 Pandemics in the last 120 Years  In 1918 - They implemented radio waves globally and increased the electrification of our universe causing the Spanish Flu - Most deaths during WW1   WW2 implantation of Radar by Rolling out Satellites - Van Allen belt  - Flu Pandemic  1968 Hong Kong Flu -  Rolled out another level of 100,000 satellites in the Transmitting Radar signals pushing telecommications again in the Van Allen Belt   5G - Takes about 6 months after exposure - If you were born into the Frequency World , You will not be affected. The youngest were born into this. They are covering their tracks as the continue to roll out towers. - Ends Results - Flu again and we are in a Digital Sensored WW3  They are pushing AI Technology now - Driverless cars run off 5G, Everything runs off 5G  RUSSIA - NO 5G Rollout - Look at the difference with Russia   Who else sees the patterns here?   Frequencies - Flu - War","[{u'text': u'last year', u'type': u'DATE'}, {u'text': u'1', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'CONDITIONS', u'type': u'ORG'}, {u'text': u'45-65k', u'type': u'DATE'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'LEAKED', u'type': u'PERSON'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'FLU', u'type': u'ORG'}, {u'text': u'YEARS AGO', u'type': u'DATE'}, {u'text': u'VIRUS', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Wuhan', u'type': u'GPE'}, {u'text': u'3', u'type': u'CARDINAL'}, {u'text': u'the last 120 Years', u'type': u'DATE'}, {u'text': u'1918', u'type': u'DATE'}, {u'text': u'Spanish', u'type': u'NORP'}, {u'text': u'Radar', u'type': u'PRODUCT'}, {u'text': u'1968', u'type': u'DATE'}, {u'text': u'Hong Kong', u'type': u'GPE'}, {u'text': u'100,000', u'type': u'CARDINAL'}, {u'text': u'Transmitting Radar', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'G - Takes', u'type': u'ORG'}, {u'text': u'about 6 months', u'type': u'DATE'}, {u'text': u'AI Technology', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'Russia', u'type': u'GPE'}]",690
1050910,The FLU HAS ALWAYS BEEN FROM FREQUENCIES - Welcome To 5G https://rumble.com/vkcbsb-the-flu-has-always-been-from-frequencies-welcome-to-5g.html,"[{u'text': u'FLU', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}]",690
1096265,"I will be turning off my 5G and wifi on August 11th.  The Emergency Broadcast from FEMA is also a 5G test where the towers Haven't been turned on.  They  already affect the Unvaccinated   I know enough with frequencies, what they can do, expeciallly with Graphine Oxide and nano Particles with the jabbed  We all have seen enough videos to know what this will do  I will be back on shortly after  The group will still be open. ALWAYS!   https://www.fcc.gov/document/fema-and-fcc-plan-nationwide-emergency-alert-test-aug-11","[{u'text': u'August 11th', u'type': u'DATE'}, {u'text': u'The Emergency Broadcast', u'type': u'WORK_OF_ART'}, {u'text': u'FEMA', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'the Unvaccinated nn', u'type': u'ORG'}, {u'text': u'Graphine Oxide', u'type': u'ORG'}, {u'text': u'ALWAYS', u'type': u'ORG'}]",690
1107592,Trying to a better picture  But this is 5G - Induction of coronavirus through skin cells  Frequency radiation - A 5G coverup  August 11th they are switching on 5G  God help us all with the jabbed  Even the unvaccinated are affected by 5G,"[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'August 11th', u'type': u'DATE'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'5', u'type': u'CARDINAL'}]",690
1115609,"READY FOR THE 5G AND COVID HOTSPOT MAPS OF 2020 THAT OVERLAP ALMOST EXACTLY!  North east coast / Canada Border, Florida, Washington, Texas, and California are Exact  It's a 5G coverup.There isn't a virus. Its Radiation from the skin Cells  THIS IS WHAT I HAVE EXPLAINED SINCE LAST YEAR","[{u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'2020', u'type': u'DATE'}, {u'text': u'North east coast', u'type': u'LOC'}, {u'text': u'Florida', u'type': u'GPE'}, {u'text': u'Washington', u'type': u'GPE'}, {u'text': u'Texas', u'type': u'GPE'}, {u'text': u'California', u'type': u'GPE'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'EXPLAINED', u'type': u'ORG'}, {u'text': u'LAST YEAR', u'type': u'DATE'}]",690
1115673,Candace Owen pointing out 5G. Important topic. Share everything you know about 5G and 5G towers 👇 SHARING IS CARING  =================== 🍿Channel @TRUMPINTEL  🍿 Chat @AwakeningGlobal,"[{u'text': u'Candace Owen', u'type': u'PERSON'}, {u'text': u'5', u'type': u'CARDINAL'}, {u'text': u'U0001f37fChannel', u'type': u'WORK_OF_ART'}, {u'text': u'@TRUMPINTEL', u'type': u'ORG'}, {u'text': u'U0001f37f', u'type': u'DATE'}]",701
1127131,I highly recommend that no one gets on a flight during August 11th or anytime soon  The EBS is also turning on the unused 5G towers  Jabbed - Graphine Oxide - Nano Particles   Blood clots,"[{u'text': u'August 11th', u'type': u'DATE'}, {u'text': u'EBS', u'type': u'ORG'}, {u'text': u'5', u'type': u'CARDINAL'}]",690
